time_ms,bid,ask,bid_vol,ask_vol
1774976400086,46.26305,46.27005,951893602,956016770
1774976400137,46.26545,46.27255,956016770,956016770
1774976400187,46.26805,46.27465,951893602,976200432
1774976400238,46.26585,46.27295,956016770,956016770
1774976400291,46.26645,46.27345,956016770,956016770
1774976400392,46.26565,46.27265,956016770,956016770
1774976400644,46.25955,46.26665,956016770,956016770
1774976400695,46.25875,46.26595,956016770,956016770
1774976400746,46.25905,46.26615,956016770,956016770
1774976400847,46.26095,46.26815,956016770,956016770
1774976400898,46.26395,46.27115,956016770,956016770
1774976400999,46.26435,46.27085,956016770,984674940
1774976401050,46.26485,46.27185,956016770,984674940
1774976401101,46.26485,46.27205,956016770,956016770
1774976401152,46.26415,46.27135,956016770,956016770
1774976401253,46.26265,46.26975,956016770,956016770
1774976401304,46.26235,46.26955,956016770,956016770
1774976401354,46.26145,46.26855,956016770,956016770
1774976401456,46.25875,46.26585,956016770,956016770
1774976401557,46.26065,46.26775,956016770,956016770
1774976401608,46.26095,46.26815,956016770,956016770
1774976401659,46.26135,46.26845,956016770,956016770
1774976401760,46.26115,46.26825,956016770,956016770
1774976401878,46.25875,46.26585,956016770,956016770
1774976402032,46.25845,46.26565,956016770,956016770
1774976402133,46.25535,46.26255,956016770,956016770
1774976402234,46.25785,46.26495,956016770,956016770
1774976402335,46.25785,46.26505,956016770,956016770
1774976402386,46.25825,46.26535,956016770,956016770
1774976402487,46.25795,46.26505,956016770,956016770
1774976402588,46.25745,46.26455,956016770,956016770
1774976402689,46.25685,46.26395,956016770,956016770
1774976402841,46.25725,46.26445,956016770,956016770
1774976403093,46.25755,46.26465,956016770,956016770
1774976403194,46.25845,46.26555,956016770,956016770
1774976403295,46.25965,46.26675,956016770,956016770
1774976403396,46.25985,46.26695,956016770,956016770
1774976403497,46.25935,46.26645,956016770,956016770
1774976403749,46.25885,46.26602,956016770,965578441
1774976403801,46.25915,46.26502,951893602,960282210
1774976403851,46.25615,46.26325,956016770,956016770
1774976404003,46.25655,46.26375,956016770,956016770
