time,tier,direction,entry,exit,pips,result,spread,slippage,in_sample
2026-06-12 01:39,Tier1Institutional,BUY,4232.22,4212.22,-20,LOSS,0.71,0.001,1
2026-06-12 02:09,Tier1Institutional,SELL,4216.45,4216.45,0,PENDING,0.21,0.001,1
2026-06-12 03:39,Tier1Institutional,SELL,4202.56,4202.56,0,PENDING,0.57,0.001,1
2026-06-12 03:54,Tier2Tactical,SELL,4188.77,4208.77,-20,LOSS,0.4,0.001,1
2026-06-12 04:24,Tier1Institutional,SELL,4174.8,4194.8,-20,LOSS,0.48,0.001,1
2026-06-12 04:39,Tier1Institutional,BUY,4187.75,4187.75,0,PENDING,0.54,0.001,1
2026-06-12 06:24,Tier2Tactical,BUY,4203.34,4183.34,-20,LOSS,0.3,0.001,1
2026-06-12 07:54,Tier2Tactical,SELL,4185.79,4185.79,0,PENDING,0.29,0.001,1
2026-06-12 08:24,Tier2Tactical,SELL,4176.88,4196.88,-20,LOSS,0.31,0.001,1
2026-06-12 13:09,Tier1Institutional,SELL,4214.07,4214.07,0,PENDING,0.28,0.001,1
2026-06-12 14:24,Tier2Tactical,SELL,4200.43,4200.43,0,PENDING,0.36,0.001,1
2026-06-12 14:39,Tier1Institutional,BUY,4213.35,4193.35,-20,LOSS,0.35,0.001,1
2026-06-12 15:24,Tier1Institutional,SELL,4193.35,4213.35,-20,LOSS,0.38,0.001,1
2026-06-12 17:54,Tier2Tactical,BUY,4210.04,4234.04,24,WIN,1.09,0.001,1
2026-06-12 21:09,Tier2Tactical,BUY,4230.26,4210.26,-20,LOSS,0.19,0.001,1
2026-06-12 22:54,Tier2Tactical,BUY,4211.84,4235.84,24,WIN,0.11,0.001,1
